City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,enewetak,11.3474,162.3373,27.2,78,100,8.34,MH,1740003691
1,dalandzadgad,43.5708,104.425,-9.04,52,0,1.22,MN,1740003693
2,lubang,13.8584,120.124,26.48,78,52,10.52,PH,1740003694
3,chincha alta,-13.4099,-76.1323,23.41,81,99,2.7,PE,1740003695
4,sao vicente,-23.9631,-46.3919,27.77,26,46,1.34,BR,1740003696
5,san julian,21.0167,-102.1667,24.45,19,94,2.38,MX,1740003697
6,inhambane,-23.865,35.3833,25.69,89,79,4.37,MZ,1740003698
7,tura,25.5198,90.2201,16.79,42,24,1.92,IN,1740003699
8,papatowai,-46.5619,169.4708,17.03,65,2,2.98,NZ,1740003701
9,rizhao,35.4275,119.4553,-0.11,70,80,1.87,CN,1740003702
10,juneau,58.3019,-134.4197,3.56,97,100,5.66,US,1740003703
11,bilibino,68.0546,166.4372,-27.13,97,8,1.53,RU,1740003704
12,port-aux-francais,-49.35,70.2167,7.6,93,100,16.91,TF,1740003705
13,vuktyl,63.8567,57.3094,-11.05,93,100,6.96,RU,1740003706
14,malango,-2.9627,119.9001,18.97,96,100,1.15,ID,1740003707
15,hawaiian paradise park,19.5933,-154.9731,26.04,75,86,1.34,US,1740003708
16,thompson,55.7435,-97.8558,-9.91,44,20,4.63,CA,1740003709
17,yellowknife,62.456,-114.3525,-15.33,74,40,7.6,CA,1740003711
18,west island,-12.1568,96.8225,26.99,83,100,1.03,CC,1740003712
19,tartu,58.3806,26.7251,-8.72,82,44,3.6,EE,1740003713
20,berdigestyakh,62.0989,126.6992,-26.38,100,100,0.79,RU,1740003714
21,talnakh,69.4865,88.3972,-21.44,96,51,2.79,RU,1740003715
22,kone,-21.0595,164.8658,27.98,65,0,1.32,NC,1740003716
23,blackmans bay,-43.0167,147.3167,13.07,63,75,0.89,AU,1740003717
24,san antonio de pale,-1.4014,5.6325,28.07,76,56,2.82,GQ,1740003718
25,adamstown,-25.066,-130.1015,25.61,81,4,9.6,PN,1740003719
26,waitangi,-43.9535,-176.5597,18.23,99,91,2.68,NZ,1740003721
27,ushuaia,-54.8,-68.3,9.81,50,75,10.8,AR,1740003722
28,puerto natales,-51.7236,-72.4875,15.25,33,20,12.86,CL,1740003723
29,nova sintra,14.8667,-24.7167,22.15,78,2,10.38,CV,1740003724
30,thurso,58.5927,-3.5259,6.14,86,51,10.7,GB,1740003725
31,lebu,-37.6167,-73.65,15.91,77,0,4.79,CL,1740003726
32,tazovsky,67.4667,78.7,-21.08,93,9,6.99,RU,1740003727
33,fale old settlement,-9.3852,-171.2468,28.56,70,94,8.62,TK,1740003728
34,st. john's,47.5649,-52.7093,1.75,91,75,5.66,CA,1740003730
35,avarua,-21.2078,-159.775,29.03,65,40,5.14,CK,1740003731
36,albany,42.6001,-73.9662,-7.46,64,100,2.68,US,1740003732
37,udachny,66.4167,112.4,-27.44,99,42,1.78,RU,1740003733
38,bethel,41.3712,-73.414,-1.66,52,0,4.63,US,1740003734
39,mozarlandia,-14.7447,-50.5706,28.24,69,98,1.09,BR,1740003735
40,puerto ayora,-0.7393,-90.3518,27.53,90,97,3.13,EC,1740003736
41,grytviken,-54.2811,-36.5092,4.41,89,100,2.36,GS,1740003737
42,westport,41.1415,-73.3579,-0.96,49,0,4.12,US,1740003738
43,la passe,45.5549,-0.8967,10.65,85,38,1.37,FR,1740003740
44,iqaluit,63.7506,-68.5145,-19.06,77,40,12.35,CA,1740003741
45,keflavik,64.0049,-22.5624,7.24,93,100,7.2,IS,1740003742
