City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arroyito,-31.4202,-63.05,28.84,48,3,2.24,AR,1740007497
1,albany,42.6001,-73.9662,-7.42,67,100,4.47,US,1740007498
2,puerto ayora,-0.7393,-90.3518,26.97,91,97,1.79,EC,1740007499
3,thinadhoo,0.5333,72.9333,27.2,75,5,1.19,MV,1740007500
4,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,51,75,5.0,RU,1740007501
5,iqaluit,63.7506,-68.5145,-19.06,77,0,9.77,CA,1740007502
6,ilulissat,69.2167,-51.1,-7.99,45,8,6.69,GL,1740007503
7,hermanus,-34.4187,19.2345,20.45,75,40,3.99,ZA,1740007504
8,vilhena,-12.7406,-60.1458,25.12,69,0,2.06,BR,1740007506
9,sitka,57.0531,-135.33,6.94,76,75,4.63,US,1740007507
10,shambu,9.5667,37.1,14.33,55,30,0.52,ET,1740007508
11,arno,60.1167,18.6333,-5.31,95,12,2.63,SE,1740007509
12,el calafate,-50.3408,-72.2768,13.26,52,95,5.01,AR,1740007510
13,luderitz,-26.6481,15.1594,15.65,93,0,5.82,NA,1740007511
14,brezina,33.0989,1.2608,11.9,46,100,3.97,DZ,1740007512
15,port-aux-francais,-49.35,70.2167,7.66,94,100,17.37,TF,1740007513
16,butembo,0.15,29.2833,16.09,41,61,1.5,CD,1740007514
17,brookings,44.3114,-96.7984,-15.46,58,0,6.17,US,1740007515
18,guerrero negro,27.9769,-114.0611,18.13,56,2,5.41,MX,1740007517
19,yuanping,38.7153,112.7575,-5.48,75,65,2.0,CN,1740007518
20,adamstown,-25.066,-130.1015,25.49,82,5,9.54,PN,1740007519
21,bethel,41.3712,-73.414,-2.21,56,100,0.89,US,1740007520
22,badger,64.8,-147.5333,-3.89,65,40,4.12,US,1740007521
23,rawson,-43.3002,-65.1023,24.16,53,0,4.63,AR,1740007522
24,blackmans bay,-43.0167,147.3167,14.07,65,73,0.89,AU,1740007523
25,yartsevo,55.0667,32.6964,-10.21,97,41,1.97,RU,1740007524
26,zhangye,38.9342,100.4517,-4.53,45,41,1.11,CN,1740007526
27,tolanaro,-25.0319,46.9987,26.04,89,75,4.12,MG,1740007527
28,port elizabeth,-33.918,25.5701,20.17,90,4,2.68,ZA,1740007528
29,waitangi,-43.9535,-176.5597,18.79,99,93,3.13,NZ,1740007529
30,stanley,54.868,-1.6985,4.01,90,75,3.6,GB,1740007530
31,eldorado,-23.7869,-54.2836,25.68,69,99,1.92,BR,1740007531
32,soderhamn,61.3037,17.0592,-9.46,95,47,1.91,SE,1740007532
33,belmonte,-15.8631,-38.8828,25.77,83,10,2.98,BR,1740007535
34,whitehorse,60.7161,-135.0538,-2.17,92,100,6.17,CA,1740007536
35,ushuaia,-54.8,-68.3,9.81,53,75,8.75,AR,1740007285
36,port mathurin,-19.6833,63.4167,26.93,76,92,6.0,MU,1740007538
37,ribeira grande,38.5167,-28.7,17.22,88,40,9.77,PT,1740007539
38,saint-pierre,-21.3393,55.4781,25.82,73,0,1.03,RE,1740007540
39,college,64.8569,-147.8028,-3.84,60,40,4.12,US,1740007542
40,invercargill,-46.4,168.35,17.79,59,13,2.24,NZ,1740007543
41,boyolangu,-8.1181,111.8935,23.74,93,100,0.95,ID,1740007545
42,mount pearl,47.5166,-52.7813,1.29,93,75,4.63,CA,1740007546
43,margaret river,-33.95,115.0667,20.62,89,2,3.82,AU,1740007547
44,nar'yan-mar,67.6713,53.087,-10.17,89,100,6.13,RU,1740007548
45,port lincoln,-34.7333,135.8667,18.58,64,13,7.76,AU,1740007549
46,papatowai,-46.5619,169.4708,18.44,57,3,3.06,NZ,1740007550
47,waddan,29.1614,16.139,13.62,72,0,6.51,LY,1740007551
48,isafjordur,66.0755,-23.124,1.88,97,100,2.11,IS,1740007552
49,christchurch,-43.5333,172.6333,22.73,60,1,6.69,NZ,1740007056
50,coronel dorrego,-38.7187,-61.2873,27.31,25,48,5.51,AR,1740007554
51,olonkinbyen,70.9221,-8.7187,-1.74,99,100,5.53,SJ,1740007556
52,black forest,39.0131,-104.7008,-7.27,69,40,5.14,US,1740007557
53,grytviken,-54.2811,-36.5092,4.8,87,100,3.56,GS,1740007558
54,vorgashor,67.5833,63.95,-11.23,86,100,8.29,RU,1740007559
55,vadso,70.0744,29.7487,-2.91,86,20,7.72,NO,1740007560
56,kapuskasing,49.4169,-82.4331,-14.95,85,100,4.12,CA,1740007561
57,hamilton,39.1834,-84.5333,-5.78,64,100,4.12,US,1740007562
58,springbok,-29.6643,17.8865,18.23,66,75,1.19,ZA,1740007563
59,crane,31.3974,-102.3501,2.16,31,0,5.01,US,1740007564
60,bilibino,68.0546,166.4372,-25.05,97,8,1.42,RU,1740007566
61,puerto natales,-51.7236,-72.4875,11.55,55,21,5.05,CL,1740007567
62,longyearbyen,78.2186,15.6401,-8.09,73,75,1.54,SJ,1740007568
63,choma,-16.8065,26.9531,18.38,91,100,1.74,ZM,1740007569
64,saipan,15.1355,145.701,29.39,72,0,8.23,MP,1740007570
65,pacific grove,36.6177,-121.9166,14.64,92,100,2.24,US,1740007571
66,kirakira,-10.4544,161.9205,27.44,83,100,6.72,SB,1740007572
67,georgetown,5.4112,100.3354,25.96,77,20,1.54,MY,1740007294
68,punta arenas,-53.15,-70.9167,12.06,50,0,9.77,CL,1740007574
69,cooma,-36.2333,149.1333,12.91,63,92,2.14,AU,1740007577
70,taro,-8.3862,115.28,19.67,99,100,0.49,ID,1740007578
71,morant bay,17.8815,-76.4093,25.16,80,50,4.21,JM,1740007579
72,edinburgh of the seven seas,-37.0676,-12.3116,18.39,90,48,9.64,SH,1740007580
73,dolores,-36.3132,-57.6792,20.41,51,2,5.44,AR,1740007581
74,jamestown,42.097,-79.2353,-9.43,80,100,3.09,US,1740007582
75,kingston,17.997,-76.7936,27.53,57,20,6.69,JM,1740007402
76,thompson,55.7435,-97.8558,-10.91,37,20,3.6,CA,1740007585
77,ancud,-41.8697,-73.8203,14.02,81,0,3.99,CL,1740007586
78,tiksi,71.6872,128.8694,-30.4,99,89,1.68,RU,1740007587
79,weining,26.85,104.2333,3.32,90,57,2.24,CN,1740007588
80,iskateley,67.6803,53.1512,-10.24,89,100,6.18,RU,1740007589
